date,category,buy_value,sell_value,net_value
2008-01-21,DII,4430.29,1031.09,3399.2
2008-01-21,FII/FPI,4295.93,7592.66,-3296.73
2008-01-22,DII,4375.64,1596.93,2778.71
2008-01-22,FII/FPI,6172.99,10438.18,-4265.19
2008-01-23,DII,2669.63,1377.87,1291.76
2008-01-23,FII/FPI,5730.7,8752.24,-3021.54
2008-01-24,DII,2140.83,1023.8,1117.03
2008-01-24,FII/FPI,4686.65,6941.58,-2254.93
2008-01-25,DII,1475.88,1227.53,248.35
2008-01-25,FII/FPI,4689.63,4481.15,208.48
2008-01-28,DII,1155.28,557.34,597.94
2008-01-28,FII/FPI,2478.9,3517.35,-1038.45
2008-01-29,DII,762.03,663.21,98.82
2008-01-29,FII/FPI,2874.72,3420.81,-546.09
2008-01-30,DII,1432.25,709.14,723.11
2008-01-30,FII/FPI,2635.54,3546.54,-911.0
2008-01-31,DII,3145.68,985.33,2160.35
2008-01-31,FII/FPI,5103.07,9041.07,-3938.0
2008-02-01,DII,1610.49,1183.38,427.11
2008-02-01,FII/FPI,3798.13,4426.81,-628.68
2008-02-04,DII,1097.88,833.51,264.37
2008-02-04,FII/FPI,2792.79,2928.44,-135.65
2008-02-05,DII,1128.9,1146.9,-18.0
2008-02-05,FII/FPI,3662.69,3004.35,658.34
2008-02-06,DII,699.85,690.04,9.81
2008-02-06,FII/FPI,2497.04,2846.88,-349.84
2008-02-07,DII,1029.32,608.31,421.01
2008-02-07,FII/FPI,3666.14,4334.57,-668.43
2008-02-09,DII,1350.5,1140.71,209.79
2008-02-09,FII/FPI,2799.13,1666.88,1132.25
2008-02-12,DII,676.34,571.03,105.31
2008-02-12,FII/FPI,891.62,1214.63,-323.01
2008-02-13,DII,778.74,755.15,23.59
2008-02-13,FII/FPI,3828.13,3818.73,9.4
2008-02-14,DII,1115.45,910.42,205.03
2008-02-14,FII/FPI,3925.69,3864.7,60.99
2008-02-15,DII,948.85,810.19,138.66
2008-02-15,FII/FPI,3286.76,3025.56,261.2
2008-02-18,DII,640.96,775.12,-134.16
2008-02-18,FII/FPI,1519.44,1861.52,-342.08
2008-02-19,DII,1023.41,1071.7,-48.29
2008-02-19,FII/FPI,2686.93,2357.68,329.25
2008-02-20,DII,994.98,738.8,256.18
2008-02-20,FII/FPI,2876.67,3143.11,-266.44
2008-02-21,DII,748.8,889.48,-140.68
2008-02-21,FII/FPI,2671.51,2462.08,209.43
2008-02-22,DII,679.11,573.62,105.49
2008-02-22,FII/FPI,2254.02,2963.56,-709.54
